"variant_id","campaign_id","channel","creative_type","subject_line","call_to_action","tone","length_words"
"VAR00001","CMP0001","Web","SMSCopy","Quick win: optimize your funnel","Book Demo","Urgent","14"
"VAR00002","CMP0001","Social","SMSCopy","Quick win: optimize your funnel","Learn More","Urgent","19"
"VAR00003","CMP0001","Email","SMSCopy","Your free audit is ready","Learn More","Insightful","10"
"VAR00004","CMP0002","Social","LandingPage","Unlock growth with Purple Merit","Get Audit","Urgent","12"
"VAR00005","CMP0002","Email","AdCopy","Unlock growth with Purple Merit","Book Demo","Professional","20"
"VAR00006","CMP0003","Ads","SMSCopy","Quick win: optimize your funnel","Get Audit","Insightful","20"
"VAR00007","CMP0003","Ads","AdCopy","Your free audit is ready","Book Demo","Friendly","18"
"VAR00008","CMP0004","Email","SMSCopy","Unlock growth with Purple Merit","Learn More","Professional","8"
"VAR00009","CMP0004","Web","AdCopy","We saved teams 27% on CPL","Learn More","Playful","24"
"VAR00010","CMP0004","Web","SMSCopy","Quick win: optimize your funnel","Learn More","Insightful","22"
"VAR00011","CMP0005","SMS","SMSCopy","We saved teams 27% on CPL","Download Guide","Professional","25"
"VAR00012","CMP0005","Ads","SMSCopy","Your free audit is ready","Download Guide","Insightful","7"
"VAR00013","CMP0005","Ads","AdCopy","Let’s boost pipeline this quarter","Download Guide","Urgent","22"
"VAR00014","CMP0005","SMS","AdCopy","Your free audit is ready","Get Audit","Insightful","9"
"VAR00015","CMP0005","SMS","SubjectLine","We saved teams 27% on CPL","Start Trial","Urgent","22"
"VAR00016","CMP0006","Web","SubjectLine","Your free audit is ready","Start Trial","Insightful","23"
"VAR00017","CMP0006","Social","SMSCopy","We saved teams 27% on CPL","Book Demo","Urgent","14"
"VAR00018","CMP0006","Web","SMSCopy","Quick win: optimize your funnel","Learn More","Playful","12"
"VAR00019","CMP0006","Web","AdCopy","Let’s boost pipeline this quarter","Start Trial","Insightful","5"
"VAR00020","CMP0006","Web","LandingPage","We saved teams 27% on CPL","Get Audit","Insightful","9"
"VAR00021","CMP0007","Social","SubjectLine","Unlock growth with Purple Merit","Start Trial","Professional","19"
"VAR00022","CMP0007","Email","SubjectLine","Let’s boost pipeline this quarter","Start Trial","Urgent","11"
"VAR00023","CMP0008","Call","LandingPage","We saved teams 27% on CPL","Download Guide","Insightful","13"
"VAR00024","CMP0008","Web","SMSCopy","Unlock growth with Purple Merit","Learn More","Friendly","16"
"VAR00025","CMP0008","SMS","SubjectLine","Unlock growth with Purple Merit","Book Demo","Professional","11"
"VAR00026","CMP0008","Web","AdCopy","Your free audit is ready","Get Audit","Insightful","8"
"VAR00027","CMP0008","SMS","SMSCopy","Let’s boost pipeline this quarter","Download Guide","Professional","24"
"VAR00028","CMP0009","SMS","LandingPage","Unlock growth with Purple Merit","Learn More","Friendly","14"
"VAR00029","CMP0009","Call","SMSCopy","Your free audit is ready","Book Demo","Playful","25"
"VAR00030","CMP0010","Social","LandingPage","Quick win: optimize your funnel","Book Demo","Playful","6"
"VAR00031","CMP0010","SMS","SMSCopy","Let’s boost pipeline this quarter","Book Demo","Playful","25"
"VAR00032","CMP0010","SMS","SubjectLine","We saved teams 27% on CPL","Start Trial","Friendly","18"
"VAR00033","CMP0011","Call","AdCopy","We saved teams 27% on CPL","Get Audit","Playful","25"
"VAR00034","CMP0011","Call","SMSCopy","We saved teams 27% on CPL","Start Trial","Playful","13"
"VAR00035","CMP0011","Call","AdCopy","Unlock growth with Purple Merit","Download Guide","Insightful","12"
"VAR00036","CMP0011","Call","SMSCopy","Let’s boost pipeline this quarter","Book Demo","Insightful","15"
"VAR00037","CMP0012","Web","AdCopy","Let’s boost pipeline this quarter","Download Guide","Urgent","13"
"VAR00038","CMP0012","Social","SubjectLine","Quick win: optimize your funnel","Get Audit","Friendly","12"
"VAR00039","CMP0012","Web","SMSCopy","Quick win: optimize your funnel","Get Audit","Insightful","25"
"VAR00040","CMP0013","Web","SubjectLine","Unlock growth with Purple Merit","Download Guide","Professional","17"
"VAR00041","CMP0013","Ads","LandingPage","Quick win: optimize your funnel","Download Guide","Insightful","22"
"VAR00042","CMP0013","SMS","SMSCopy","Quick win: optimize your funnel","Download Guide","Urgent","19"
"VAR00043","CMP0013","SMS","LandingPage","Let’s boost pipeline this quarter","Get Audit","Friendly","11"
"VAR00044","CMP0013","SMS","SubjectLine","Quick win: optimize your funnel","Get Audit","Professional","11"
"VAR00045","CMP0014","Call","LandingPage","Unlock growth with Purple Merit","Get Audit","Urgent","12"
"VAR00046","CMP0014","Call","AdCopy","Let’s boost pipeline this quarter","Book Demo","Playful","9"
"VAR00047","CMP0014","Call","SubjectLine","Unlock growth with Purple Merit","Learn More","Urgent","9"
"VAR00048","CMP0014","Call","SubjectLine","Unlock growth with Purple Merit","Learn More","Urgent","20"
"VAR00049","CMP0014","Call","SMSCopy","Let’s boost pipeline this quarter","Get Audit","Friendly","13"
"VAR00050","CMP0015","SMS","SubjectLine","We saved teams 27% on CPL","Start Trial","Friendly","23"
